#origin_as|region|country|as_type|use_selective|selective_prefixes|selective_neighbors|selective_proportion|median_intensity
9697|apnic|KR|isp|False|0|0|0.00|1.00
9698|apnic|KR|isp|False|0|0|0.00|1.00
9699|apnic|KR|business|False|0|0|0.00|1.00
9700|apnic|KR|business|False|0|0|0.00|1.00
9703|apnic|KR|none|False|0|0|0.00|1.00
9704|apnic|KR|business|False|0|0|0.00|1.00
9705|apnic|KR|none|False|0|0|0.00|1.00
9706|apnic|KR|education|False|0|0|0.00|1.00
9707|apnic|KR|business|False|0|0|0.00|1.00
9708|apnic|KR|business|True|1|1|0.01|1.00
9709|apnic|KR|business|False|0|0|0.00|1.00
9710|apnic|KR|none|False|0|0|0.00|1.00
9711|apnic|KR|business|False|0|0|0.00|1.00
9712|apnic|KR|isp|True|30|3|0.73|0.67
9716|apnic|AU|none|True|1|1|0.99|0.50
9717|apnic|AU|none|False|0|0|0.00|1.00
9720|apnic|AU|none|False|0|0|0.00|1.00
9722|apnic|AU|none|False|0|0|0.00|1.00
9723|apnic|AU|hosting|True|106|3|0.99|0.75
9726|apnic|HK|none|False|0|0|0.00|1.00
9729|apnic|HK|hosting|True|57|6|0.13|1.00
9730|apnic|IN|isp|False|0|0|0.00|1.00
9731|apnic|SG|none|False|0|0|0.00|1.00
9732|apnic|HK|government|True|2|2|0.00|1.00
9733|apnic|NZ|none|True|5|1|0.25|1.00
9735|apnic|HK|hosting|True|1|1|0.50|1.00
9737|apnic|TH|none|False|0|0|0.00|1.00
9738|apnic|AU|hosting|True|85|3|0.41|1.00
9745|apnic|AU|business|False|0|0|0.00|1.00
9746|apnic|AU|none|False|0|0|0.00|1.00
9749|apnic|AU|isp|False|0|0|0.00|1.00
9751|apnic|AS|isp|True|10|3|0.83|0.67
9752|apnic|IN|hosting|True|7|3|1.00|0.33
9753|apnic|KR|education|False|0|0|0.00|1.00
9754|apnic|KR|education|False|0|0|0.00|1.00
9756|apnic|KR|isp|False|0|0|0.00|1.00
